Supplementary Table 2. Genes more potently regulated by IL-15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
gene_name,symbol,RPKM,,,,,,,,,Fold Change,,,,,,,
,,,4 hour,,,,24 hour,,,,4 hour,,,,24 hour,,,
,,Cont,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM
NM_001039160,Gvin1,1.59,1.67,6.62,1.89,10.00,5.37,4.14,1.41,4.66,1.05,4.17,1.19,6.29,3.38,2.61,0.88,2.93
NM_001045481,Ifi203,7.45,7.54,24.44,6.45,62.92,6.07,9.93,5.90,10.57,1.01,3.28,0.87,8.45,0.82,1.33,0.79,1.42
NM_009283,Stat1,109.31,123.24,384.89,100.95,465.09,246.67,218.97,70.87,221.33,1.13,3.52,0.92,4.25,2.26,2.00,0.65,2.02
NM_001163269,Lpar5,5.92,2.10,0.79,0.93,0.76,2.93,3.96,3.21,4.76,0.35,0.13,0.16,0.13,0.50,0.67,0.54,0.80
NM_001163268,Lpar5,5.68,2.03,0.74,0.91,0.75,2.82,3.83,3.11,4.57,0.36,0.13,0.16,0.13,0.50,0.67,0.55,0.80
NM_028469,3110082I17Rik,3.96,2.80,8.96,4.19,6.52,4.34,11.36,1.78,9.38,0.71,2.27,1.06,1.65,1.10,2.87,0.45,2.37
NM_001033450,Mnda,10.67,14.52,33.86,14.27,74.26,13.92,15.68,14.98,14.84,1.36,3.17,1.34,6.96,1.31,1.47,1.40,1.39
NM_026560,Cdca8,3.24,4.62,4.59,6.46,7.38,12.63,44.44,1.63,44.65,1.42,1.42,1.99,2.27,3.90,13.71,0.50,13.77
NM_031376,Pik3ap1,6.18,4.57,3.82,3.66,11.79,4.55,1.69,3.83,2.55,0.74,0.62,0.59,1.91,0.74,0.27,0.62,0.41
NM_001081215,Ddx60,0.78,1.21,3.45,0.90,7.80,1.16,1.38,1.20,1.72,1.55,4.41,1.15,9.97,1.48,1.76,1.53,2.20
NM_001008498,Wdr34,2.86,4.29,2.03,8.11,4.68,2.32,9.65,5.30,6.29,1.50,0.71,2.84,1.64,0.81,3.38,1.85,2.20
