Camborne
Location 1627E 407N 87m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1992  11   12.1     7.4       0   175.1    44.7
   1992  12    8.7     4.4       0   124.3    48.1
   1993   1   10.5     6.0       0   160.8    42.0
   1993   2    8.6     5.5       1    26.8    60.7
   1993   3   10.2     5.3       4    28.7   109.6
   1993   4   12.4     7.6       0   116.4   152.2
   1993   5   14.1     8.0       0   162.9   184.6
   1993   6   16.8    11.3       0   110.9   200.1
   1993   7   17.3    12.8       0   107.1   176.1
   1993   8   18.0    11.8       0    43.1   218.3
   1993   9   16.1    11.0       0   214.0   168.8
   1993  10   12.0     6.7       1    78.9   143.7
   1993  11   10.2     5.4       1   104.5    81.2
   1993  12   10.3     5.8       0   222.7    45.6
   1994   1    9.5     5.5       0   161.2    58.7
   1994   2    9.1     4.0       3   172.1    71.8
   1994   3   10.6     6.8       0    82.9    76.9
   1994   4   10.9     5.6       0    66.3   182.3
   1994   5   13.6     8.3       0    91.5   168.8
   1994   6   16.2    10.7       0    21.6   238.7
   1994   7   19.2    12.9       0    46.0   194.5
   1994   8   18.5    12.5       0    90.1   174.1
   1994   9   16.1    10.1       0    83.4   123.3
   1994  10   14.8     9.0       0   103.6   150.0
   1994  11   13.4     9.0       0    95.5    39.6
   1994  12   11.4     6.4       0   140.6    63.1
   1995   1    9.9     5.0       0   169.6    34.8
   1995   2   10.4     5.6       0   121.2    53.8
   1995   3    9.2     4.4       1    68.8   137.1
   1995   4   11.2     5.8       0    38.9   169.2
   1995   5   14.9     8.2       0    41.0   232.8
   1995   6   17.2    10.9       0    17.8   257.5
   1995   7   20.7    14.2       0    25.6   233.5
   1995   8   22.5    15.4       0    19.0   254.1
   1995   9   16.9    11.7       0   103.2   164.8
   1995  10   16.1    11.6       0   102.6   119.2
   1995  11   12.0     7.1       0    96.0    80.6
   1995  12    8.8     4.1       6   103.2    60.7
   1996   1    9.0     5.3       4   201.4    44.9
   1996   2    7.9     2.5       5   121.6   137.0
   1996   3    8.9     4.2       0    51.0    93.6
   1996   4   11.5     6.2       0    68.4   159.9
   1996   5   12.4     6.0       0    76.8   213.8
   1996   6   16.9    10.5       0    20.6   256.1
   1996   7   18.5    12.4       0    23.2   250.0
   1996   8   18.6    12.5       0    68.6   242.4
   1996   9   17.2    10.5       0    41.4   187.4
   1996  10   14.7    10.6       0    97.8    85.8
   1996  11   10.9     6.3       0   170.6    76.2
   1996  12    7.4     2.5       9    46.4    67.8
   1997   1    6.4     2.1       9    31.0    56.6
   1997   2   10.6     5.4       0   122.6    67.4
   1997   3   11.1     6.4       0    27.6   141.3
   1997   4   13.1     6.1       0    17.0   241.0
   1997   5   15.1     8.8       0    68.8   283.9
   1997   6   15.8    10.9       0   130.4   125.4
   1997   7   19.0    12.3       0    24.8   243.0
   1997   8   20.5    14.9       0   196.6   150.1
   1997   9   17.9    12.2       0    48.6   185.1
   1997  10   15.5    10.7       0    82.6   104.4
   1997  11   12.8     8.1       0   179.4    62.5
   1997  12   10.4     5.5       2   138.0    86.2
   1998   1    9.6     4.5       4   138.6    87.0
   1998   2   10.8     6.0       0    17.2   109.7
   1998   3   11.0     6.6       0   103.2    78.1
   1998   4   10.7     5.7       0   179.4   155.2
   1998   5   15.6     9.9       0    59.4   226.3
   1998   6   16.2    11.1       0   104.6   184.9
   1998   7   17.1    12.6       0    91.8   163.7
   1998   8   18.8    12.4       0    27.7   250.1
   1998   9   17.7    12.9       0    77.2   146.3
   1998  10   14.6    10.0       0   164.8   114.7
   1998  11   10.9     7.2       0   161.6    87.3
   1998  12   10.3     5.2       2   163.8    66.0
   1999   1   10.1     5.3       2   152.0    68.6
   1999   2    9.6     5.5       0    77.0    62.0
   1999   3   10.5     5.6       0    43.8   137.5
   1999   4   12.2     7.3       0    98.4   172.1
   1999   5   15.5    10.2       0    57.0   174.6
   1999   6   16.0    10.6       0    67.8   206.2
   1999   7   19.5    13.6       0     8.4   246.1
   1999   8   19.2    13.6       0   104.4   192.1
   1999   9   18.3    12.5       0   118.9   173.7
   1999  10   14.6     9.7       0    34.2   144.1
   1999  11   11.7     6.9       0    75.6   101.0
   1999  12   10.1     5.6       1   222.2    48.9
   2000   1    8.7     4.3       2    52.4    79.8
   2000   2   10.2     6.1       0   130.4    73.9
   2000   3   10.3     5.6       0    23.6   150.4
   2000   4   11.1     5.7       0    96.8   178.9
   2000   5   15.0     9.0       0    80.2   175.6
   2000   6   16.7    11.4       0    22.8   175.4
   2000   7   18.0    12.8       0    47.8   197.6
   2000   8   19.7    13.6       0    52.8   170.6
   2000   9   18.1    12.5       0   148.8   144.3
   2000  10   13.5     9.0       0   185.2    96.8
   2000  11   10.7     6.5       0   171.0    68.4
   2000  12    9.9     6.2       1   193.4    54.7
   2001   1    8.5     4.3       0   137.8    61.2
   2001   2    9.3     4.7       0    79.0   103.4
   2001   3   10.2     5.3       5   124.6    80.4
   2001   4   11.1     6.6       0   101.0   157.9
   2001   5   15.1     8.9       0    21.6   283.7
   2001   6   17.1    11.0       0    29.4   257.3
   2001   7   18.6    12.7       0    86.2   189.2
   2001   8   19.3    13.5       0    32.4   202.7
   2001   9   17.3    12.1       0    21.8   158.2
   2001  10   16.3    11.6       0   101.4   118.2
   2001  11   12.2     7.2       0    60.4    79.4
   2001  12    8.9     4.2       4    52.6    92.8
   2002   1   10.4     6.2       1   127.4    49.1
   2002   2   10.4     6.1       0   121.4    81.0
   2002   3   11.0     6.1       0    73.6   102.6
   2002   4   12.0     6.2       0    51.6   191.7
   2002   5   13.8     8.4       0   114.2   215.3
   2002   6   14.8    10.3       0    47.2   153.9
   2002   7   17.2    11.8       0    57.2   185.1
   2002   8   18.1    12.9       0    42.4   169.3
   2002   9   18.1    11.3       0    42.4   217.9
   2002  10   14.5     9.7       0   138.6    95.1
   2002  11   12.6     8.7       0   242.2    67.5
   2002  12    9.8     6.2       2   180.0    46.4
   2003   1    8.4     4.3       6    79.7    76.9
   2003   2    8.7     4.0       4    86.8    99.2
   2003   3   11.2     6.6       0    34.6   155.6
   2003   4   13.2     7.2       0    57.0   210.5
   2003   5   14.0     8.9       0    92.4   197.3
   2003   6   17.4    11.1       0    87.0   236.6
   2003   7   19.0    13.5       0   128.0   131.0
   2003   8   21.0    14.2       0    25.6   211.2
   2003   9   18.7    12.0       0    44.6   183.1
   2003  10   13.7     8.9       0    79.2   124.3
   2003  11   12.5     8.1       0    93.0    85.2
   2003  12   10.1     5.6       0   102.6    51.9
   2004   1    9.8     5.4       1   164.6    58.1
   2004   2    8.8     4.0       5    80.9   101.0
   2004   3   10.0     4.8       2    78.2   140.7
   2004   4   11.9     6.9       0    68.8   172.0
   2004   5   15.0     8.9       0    33.6   265.7
   2004   6   18.0    11.9       0    64.6   244.8
   2004   7   17.6    12.4       0    65.2   162.1
   2004   8   19.5    14.1       0   146.6   200.2
   2004   9   17.8    13.0       0    54.4   145.6
   2004  10   13.7     8.8       0   190.6   118.2
   2004  11   11.6     8.4       0    43.2    45.1
   2004  12   10.3     6.0       0    55.4    42.0
   2005   1    9.9     5.9       0    68.6    47.8
   2005   2    7.6     3.2       7    25.8    95.7
   2005   3   10.1     5.4       3    53.8   100.1
   2005   4   11.8     6.6       0    88.2   166.7
   2005   5   13.2     8.1       0    46.6   189.7
   2005   6   17.5    11.8       0    49.6   202.9
   2005   7   18.9    13.6       0    48.0   178.6
   2005   8   19.4    12.4       0    32.0   258.6
   2005   9   18.1    12.5       0    65.2   148.4
   2005  10   15.4    11.5       0   132.0   106.4
   2005  11   11.6     6.2       0   164.5    99.2
   2005  12    9.5     4.4       3    88.4    68.3
   2006   1    8.1     3.8       5    62.2    75.6
   2006   2    7.3     3.1       4    69.6    59.6
   2006   3    8.7     4.4       2    86.0    76.0
   2006   4   11.5     6.5       0    32.0   177.9
   2006   5   14.2     9.0       0    85.2   182.1
   2006   6   18.7    11.4       0    33.4   278.0
   2006   7   21.3    14.4       0    34.8   246.5
   2006   8   18.9    14.0       0    55.4   188.0
   2006   9   19.3    13.9       0    76.6   155.6
   2006  10   16.2    11.7       0   120.8   114.9
   2006  11   12.6     7.4       0   155.6   103.0
   2006  12   10.7     6.6       1   119.6    55.6
   2007   1   10.5     6.4       2    83.4    55.5
   2007   2   10.3     6.4       0   212.8    63.9
   2007   3   10.8     5.8       0    75.8   147.1
   2007   4   14.7     7.9       0    23.8   220.9
   2007   5   14.7     9.8       0   122.0   188.5
   2007   6   17.3    12.2       0   117.0   154.9
   2007   7   17.2    12.5       0   106.8   190.3#
   2007   8   18.1    12.9       0    43.4   239.5#
   2007   9   17.3    11.6       0    29.8   173.7#
   2007  10   15.2    10.2       0    37.4   126.5#
   2007  11   11.9     7.8       0    75.4    60.9#
   2007  12   10.5     6.1       0    80.2    63.3#
   2008   1   10.5     6.4       0   108.4    43.3#
   2008   2   10.3     5.5       0    41.4   115.1#
   2008   3   10.0     5.5       0    82.8   128.3#
   2008   4   11.1     5.8       0    48.8   190.6#
   2008   5   16.3    10.3       0    68.4   197.4#
   2008   6   16.1    10.7       0    34.6   264.4#
   2008   7   17.7    12.9       0   143.4   182.7#
   2008   8   18.0    13.3       0    99.6   101.6#
   2008   9   16.7    10.9       0    76.6   173.5#
   2008  10   13.6     9.2       0   111.8   125.2#
   2008  11   10.9     7.3       0    69.8    64.4#
   2008  12    8.8     4.7       1    85.0    69.9#
   2009   1    8.1     3.7       3   146.0    72.3#
   2009   2    8.0     3.9       2    71.3    56.5#
   2009   3   10.6     5.6       0    48.8   173.9#
   2009   4   12.2     6.5       0   144.2   180.4#
   2009   5   14.4     8.7       0    45.2   199.8#
   2009   6   18.2    11.6       0    18.8   251.0#
   2009   7   17.9    13.3       0   222.2   156.4#
   2009   8   18.2    13.6       0    68.8   123.9#
   2009   9   16.8    11.7       0    37.8   163.4#
   2009  10   15.2    10.7       0    93.4    96.2#
   2009  11   12.3     8.2       0   193.6    56.7#
   2009  12    8.6     4.0       3   101.8    80.5#
   2010   1    6.7     1.8      11   108.8   103.9#
   2010   2    7.7     3.0       3    63.0    95.9#
   2010   3    9.4     3.8       3    76.6   139.2#
   2010   4   12.3     5.9       0    35.6   231.0#
   2010   5   14.1     8.3       0    56.6   209.9#
   2010   6   17.9    11.5       0    34.0   286.0#
   2010   7   18.6    13.6       0    78.2   117.7#
   2010   8   18.1    13.0       0    71.8   154.6#
   2010   9   17.3    12.2       0    83.6   144.9#
